Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
HODGEN ELEM. (4920),2011,244,3
HODGEN ELEM. (4920),2012,233,1
HODGEN ELEM. (4920),2013,257,0
HODGEN ELEM. (4920),2014,280,2
HODGEN ELEM. (4920),2015,269,0
JEFFERSON ELEM. (5020),2008,286,3
JEFFERSON ELEM. (5020),2009,246,5
JEFFERSON ELEM. (5020),2010,214,4
JEFFERSON ELEM. (5020),2011,197,5
JEFFERSON ELEM. (5020),2012,202,4
JEFFERSON ELEM. (5020),2013,217,2
JEFFERSON ELEM. (5020),2014,214,2
JEFFERSON ELEM. (5020),2015,203,3
KENNARD/CLASSICAL JR. ACAD. (5030),2008,368,0
KENNARD/CLASSICAL JR. ACAD. (5030),2009,350,0
KENNARD/CLASSICAL JR. ACAD. (5030),2010,388,1
KENNARD/CLASSICAL JR. ACAD. (5030),2011,348,0
KENNARD/CLASSICAL JR. ACAD. (5030),2012,312,0
KENNARD/CLASSICAL JR. ACAD. (5030),2013,344,0
KENNARD/CLASSICAL JR. ACAD. (5030),2014,369,0
KENNARD/CLASSICAL JR. ACAD. (5030),2015,357,0
LACLEDE ELEM. (5060),2008,258,6
LACLEDE ELEM. (5060),2009,246,2
LACLEDE ELEM. (5060),2010,256,3
LACLEDE ELEM. (5060),2011,245,0
LACLEDE ELEM. (5060),2012,183,0
LACLEDE ELEM. (5060),2013,212,1
LACLEDE ELEM. (5060),2014,248,2
LACLEDE ELEM. (5060),2015,280,5
LEXINGTON ELEM. (5100),2008,285,4
LEXINGTON ELEM. (5100),2009,250,17
LEXINGTON ELEM. (5100),2010,254,2
LEXINGTON ELEM. (5100),2011,214,0
LEXINGTON ELEM. (5100),2012,255,0
LEXINGTON ELEM. (5100),2013,256,1
LEXINGTON ELEM. (5100),2014,321,3
LEXINGTON ELEM. (5100),2015,339,4
LYON AT BLOW ELEM. (5180),2008,152,2
LYON AT BLOW ELEM. (5180),2009,334,16
LYON AT BLOW ELEM. (5180),2010,342,6
LYON AT BLOW ELEM. (5180),2011,384,17
LYON AT BLOW ELEM. (5180),2012,406,38
